cell,spikes_per_s,n,alive_off,eliminated,fraction,wilson_lo,wilson_hi
PY 1,25.608730158730157,36,3,0,0.0,0.0,0.5615060804490177
AB/PD 1,482.74285714285713,10,10,0,0.0,0.0,0.2775401687666166
LP 3,517.7183673469389,14,14,0,0.0,0.0,0.21531701192718142
AB/PD 5,536.2285714285714,10,10,3,0.3,0.10778928748621183,0.6032267800204347
AB/PD 3,549.9428571428572,10,10,2,0.2,0.056680947980693314,0.5098431532792765
AB/PD 4,610.8489795918367,14,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463
AB/PD 2,756.2309523809523,12,11,6,0.5454545454545454,0.28008775568998817,0.7872904245601196
spearman_rho_all_seven,0.8928571428571429,,,,,,
unsampled_gap_fold,18.850714352124463,,,,,,
